order,ctryname,cowcode,un_region_name,un_continent_name,ehead,democracy,regime,leaderspellreg,tenurereg,edatereg,rightcensreg
479,El Salvador,92,Central America,Americas,Fidel Sanchez Hernandez,Non-democracy,Military Dict,Fidel Sanchez Hernandez.El Salvador.1967.Military Dict,5,1967,1
480,El Salvador,92,Central America,Americas,Arturo Molina Barraza,Non-democracy,Military Dict,Arturo Molina Barraza.El Salvador.1972.Military Dict,5,1972,1
481,El Salvador,92,Central America,Americas,Carlos Romero Mena,Non-democracy,Military Dict,Carlos Romero Mena.El Salvador.1977.Military Dict,2,1977,1
482,El Salvador,92,Central America,Americas,Adolfo Majano + Jaime Gutierrez,Non-democracy,Military Dict,Adolfo Majano + Jaime Gutierrez.El Salvador.1979.Military Dict,1,1979,1
483,El Salvador,92,Central America,Americas,Jose Napoleon Duarte,Non-democracy,Civilian Dict,Jose Napoleon Duarte.El Salvador.1980.Civilian Dict,2,1980,1
484,El Salvador,92,Central America,Americas,military,Non-democracy,Military Dict,military.El Salvador.1982.Military Dict,2,1982,1
485,El Salvador,92,Central America,Americas,Jose Napoleon Duarte,Democracy,Presidential Dem,Jose Napoleon Duarte.El Salvador.1984.Presidential Dem,5,1984,1
486,El Salvador,92,Central America,Americas,Alfredo Christiani,Democracy,Presidential Dem,Alfredo Christiani.El Salvador.1989.Presidential Dem,5,1989,1
487,El Salvador,92,Central America,Americas,Armando Calderon Sol,Democracy,Presidential Dem,Armando Calderon Sol.El Salvador.1994.Presidential Dem,5,1994,1
488,El Salvador,92,Central America,Americas,Francisco Guillermo Flores Perez,Democracy,Presidential Dem,Francisco Guillermo Flores Perez.El Salvador.1999.Presidential Dem,5,1999,1
489,El Salvador,92,Central America,Americas,Elï¿½as Antonio Saca Gonzï¿½lez,Democracy,Presidential Dem,Elï¿½as Antonio Saca Gonzï¿½lez.El Salvador.2004.Presidential Dem,5,2004,0
490,Equatorial Guinea,411,Middle Africa,Africa,Francisco Macias Nguema,Non-democracy,Civilian Dict,Francisco Macias Nguema.Equatorial Guinea.1968.Civilian Dict,11,1968,1
491,Equatorial Guinea,411,Middle Africa,Africa,Teodoro Obiang Nguema Mbasogo,Non-democracy,Military Dict,Teodoro Obiang Nguema Mbasogo.Equatorial Guinea.1979.Military Dict,30,1979,0
492,Eritrea,531,Eastern Africa,Africa,Isaias Afwerki,Non-democracy,Civilian Dict,Isaias Afwerki.Eritrea.1993.Civilian Dict,16,1993,0
493,Estonia,366,Northern Europe,Europe,Edgar Savisaar,Democracy,Parliamentary Dem,Edgar Savisaar.Estonia.1991.Parliamentary Dem,1,1991,1
494,Estonia,366,Northern Europe,Europe,Mart Laar,Democracy,Parliamentary Dem,Mart Laar.Estonia.1992.Parliamentary Dem,2,1992,1
495,Estonia,366,Northern Europe,Europe,Andres Tarand,Democracy,Parliamentary Dem,Andres Tarand.Estonia.1994.Parliamentary Dem,1,1994,1
496,Estonia,366,Northern Europe,Europe,Tiit Vahi,Democracy,Parliamentary Dem,Tiit Vahi.Estonia.1995.Parliamentary Dem,2,1995,1
497,Estonia,366,Northern Europe,Europe,Mart Siimann,Democracy,Parliamentary Dem,Mart Siimann.Estonia.1997.Parliamentary Dem,2,1997,1
498,Estonia,366,Northern Europe,Europe,Mart Laar,Democracy,Parliamentary Dem,Mart Laar.Estonia.1999.Parliamentary Dem,3,1999,1
499,Estonia,366,Northern Europe,Europe,Siim Kallas,Democracy,Parliamentary Dem,Siim Kallas.Estonia.2002.Parliamentary Dem,1,2002,1
500,Estonia,366,Northern Europe,Europe,Juhan Parts,Democracy,Parliamentary Dem,Juhan Parts.Estonia.2003.Parliamentary Dem,2,2003,1
501,Estonia,366,Northern Europe,Europe,Andrus Ansip,Democracy,Parliamentary Dem,Andrus Ansip.Estonia.2005.Parliamentary Dem,4,2005,0
502,Ethiopia,530,Eastern Africa,Africa,Haile Selassie,Non-democracy,Monarchy,Haile Selassie.Ethiopia.1946.Monarchy,28,1946,1
503,Ethiopia,530,Eastern Africa,Africa,Teferi Benti,Non-democracy,Military Dict,Teferi Benti.Ethiopia.1974.Military Dict,3,1974,1
504,Ethiopia,530,Eastern Africa,Africa,Mengistu Haile Mariam,Non-democracy,Military Dict,Mengistu Haile Mariam.Ethiopia.1977.Military Dict,14,1977,1
505,Ethiopia,530,Eastern Africa,Africa,Meles Zenawi,Non-democracy,Civilian Dict,Meles Zenawi.Ethiopia.1991.Civilian Dict,4,1991,0
506,Ethiopia,530,Eastern Africa,Africa,Negasso Gidada,Non-democracy,Civilian Dict,Negasso Gidada.Ethiopia.1995.Civilian Dict,6,1995,1
507,Ethiopia,530,Eastern Africa,Africa,Girma Wolde-Giyorgis Lucha,Non-democracy,Civilian Dict,Girma Wolde-Giyorgis Lucha.Ethiopia.1970.Civilian Dict,8,2001,0
508,Fiji,950,Melanesia,Oceania,Ratu Sir Kamisese Mara,Non-democracy,Civilian Dict,Ratu Sir Kamisese Mara.Fiji.1970.Civilian Dict,17,1970,1
509,Fiji,950,Melanesia,Oceania,Sitiveni Rabuka,Non-democracy,Military Dict,Sitiveni Rabuka.Fiji.1987.Military Dict,5,1987,1
510,Fiji,950,Melanesia,Oceania,Sitiveni Rabuka,Democracy,Parliamentary Dem,Sitiveni Rabuka.Fiji.1992.Parliamentary Dem,7,1992,1
511,Fiji,950,Melanesia,Oceania,Mahendra Chaudhry,Democracy,Parliamentary Dem,Mahendra Chaudhry.Fiji.1999.Parliamentary Dem,1,1999,1
512,Fiji,950,Melanesia,Oceania,Ratu Josefa Iloilo,Non-democracy,Military Dict,Ratu Josefa Iloilo.Fiji.2000.Military Dict,1,2000,1
513,Fiji,950,Melanesia,Oceania,Ratu Josefa Iloilo,Non-democracy,Civilian Dict,Ratu Josefa Iloilo.Fiji.2001.Civilian Dict,5,2001,1
514,Fiji,950,Melanesia,Oceania,Voreqe Bainimarama,Non-democracy,Military Dict,Voreqe Bainimarama.Fiji.2006.Military Dict,3,2006,0
515,Finland,375,Northern Europe,Europe,Mauno Pekkala,Democracy,Mixed Dem,Mauno Pekkala.Finland.1946.Mixed Dem,2,1946,1
516,Finland,375,Northern Europe,Europe,Karl Fagerholm,Democracy,Mixed Dem,Karl Fagerholm.Finland.1948.Mixed Dem,2,1948,1
517,Finland,375,Northern Europe,Europe,Urho Kekkonen,Democracy,Mixed Dem,Urho Kekkonen.Finland.1950.Mixed Dem,3,1950,1
518,Finland,375,Northern Europe,Europe,Sakari Tuomioja,Democracy,Mixed Dem,Sakari Tuomioja.Finland.1953.Mixed Dem,1,1953,1
519,Finland,375,Northern Europe,Europe,Urho Kekkonen,Democracy,Mixed Dem,Urho Kekkonen.Finland.1954.Mixed Dem,2,1954,1
520,Finland,375,Northern Europe,Europe,Karl Fagerholm,Democracy,Mixed Dem,Karl Fagerholm.Finland.1956.Mixed Dem,1,1956,1
521,Finland,375,Northern Europe,Europe,Rainer von Fieandt,Democracy,Mixed Dem,Rainer von Fieandt.Finland.1957.Mixed Dem,1,1957,1
522,Finland,375,Northern Europe,Europe,Karl Fagerholm,Democracy,Mixed Dem,Karl Fagerholm.Finland.1958.Mixed Dem,1,1958,1
523,Finland,375,Northern Europe,Europe,Vaino Sukselainen,Democracy,Mixed Dem,Vaino Sukselainen.Finland.1959.Mixed Dem,2,1959,1
524,Finland,375,Northern Europe,Europe,Martti Miettunen,Democracy,Mixed Dem,Martti Miettunen.Finland.1961.Mixed Dem,1,1961,1
525,Finland,375,Northern Europe,Europe,Ahti Karjalainen,Democracy,Mixed Dem,Ahti Karjalainen.Finland.1962.Mixed Dem,1,1962,1
526,Finland,375,Northern Europe,Europe,Reino Lehto,Democracy,Mixed Dem,Reino Lehto.Finland.1963.Mixed Dem,1,1963,1
527,Finland,375,Northern Europe,Europe,Johannes Virolainen,Democracy,Mixed Dem,Johannes Virolainen.Finland.1964.Mixed Dem,2,1964,1
528,Finland,375,Northern Europe,Europe,Rafael Paasio,Democracy,Mixed Dem,Rafael Paasio.Finland.1966.Mixed Dem,2,1966,1
529,Finland,375,Northern Europe,Europe,Mauno Koivisto,Democracy,Mixed Dem,Mauno Koivisto.Finland.1968.Mixed Dem,2,1968,1
530,Finland,375,Northern Europe,Europe,Ahti Karjalainen,Democracy,Mixed Dem,Ahti Karjalainen.Finland.1970.Mixed Dem,1,1970,1
531,Finland,375,Northern Europe,Europe,Teuvo Aura,Democracy,Mixed Dem,Teuvo Aura.Finland.1971.Mixed Dem,1,1971,1
532,Finland,375,Northern Europe,Europe,Kalevi Sorsa,Democracy,Mixed Dem,Kalevi Sorsa.Finland.1972.Mixed Dem,3,1972,1
533,Finland,375,Northern Europe,Europe,Martti Miettunen,Democracy,Mixed Dem,Martti Miettunen.Finland.1975.Mixed Dem,2,1975,1
534,Finland,375,Northern Europe,Europe,Kalevi Sorsa,Democracy,Mixed Dem,Kalevi Sorsa.Finland.1977.Mixed Dem,2,1977,1
535,Finland,375,Northern Europe,Europe,Mauno Koivisto,Democracy,Mixed Dem,Mauno Koivisto.Finland.1979.Mixed Dem,3,1979,1
536,Finland,375,Northern Europe,Europe,Kalevi Sorsa,Democracy,Mixed Dem,Kalevi Sorsa.Finland.1982.Mixed Dem,5,1982,1
537,Finland,375,Northern Europe,Europe,Harri Holkeri,Democracy,Mixed Dem,Harri Holkeri.Finland.1987.Mixed Dem,4,1987,1
538,Finland,375,Northern Europe,Europe,Esko Aho,Democracy,Mixed Dem,Esko Aho.Finland.1991.Mixed Dem,4,1991,1
539,Finland,375,Northern Europe,Europe,Paavo Lipponen,Democracy,Mixed Dem,Paavo Lipponen.Finland.1995.Mixed Dem,8,1995,1
540,Finland,375,Northern Europe,Europe,Matti Taneli Vanhanen,Democracy,Mixed Dem,Matti Taneli Vanhanen.Finland.2003.Mixed Dem,6,2003,0
541,France,220,Western Europe,Europe,Leon Blum,Democracy,Parliamentary Dem,Leon Blum.France.1946.Parliamentary Dem,1,1946,1
542,France,220,Western Europe,Europe,Robert Schuman,Democracy,Parliamentary Dem,Robert Schuman.France.1947.Parliamentary Dem,1,1947,1
543,France,220,Western Europe,Europe,Henri Queuille,Democracy,Parliamentary Dem,Henri Queuille.France.1948.Parliamentary Dem,1,1948,1
544,France,220,Western Europe,Europe,Georges Bidault,Democracy,Parliamentary Dem,Georges Bidault.France.1949.Parliamentary Dem,1,1949,1
545,France,220,Western Europe,Europe,Rene Pleven,Democracy,Parliamentary Dem,Rene Pleven.France.1950.Parliamentary Dem,2,1950,1
546,France,220,Western Europe,Europe,Antoine Pinay,Democracy,Parliamentary Dem,Antoine Pinay.France.1952.Parliamentary Dem,1,1952,1
547,France,220,Western Europe,Europe,Joseph Laniel,Democracy,Parliamentary Dem,Joseph Laniel.France.1953.Parliamentary Dem,1,1953,1
548,France,220,Western Europe,Europe,Pierre Mendes-France,Democracy,Parliamentary Dem,Pierre Mendes-France.France.1954.Parliamentary Dem,1,1954,1
549,France,220,Western Europe,Europe,Edgar Faure,Democracy,Parliamentary Dem,Edgar Faure.France.1955.Parliamentary Dem,1,1955,1
550,France,220,Western Europe,Europe,Guy Mollet,Democracy,Parliamentary Dem,Guy Mollet.France.1956.Parliamentary Dem,1,1956,1
551,France,220,Western Europe,Europe,Felix Gaillard,Democracy,Parliamentary Dem,Felix Gaillard.France.1957.Parliamentary Dem,1,1957,1
552,France,220,Western Europe,Europe,Charles de Gaulle,Democracy,Parliamentary Dem,Charles de Gaulle.France.1958.Parliamentary Dem,1,1958,1
553,France,220,Western Europe,Europe,Michel Debre,Democracy,Parliamentary Dem,Michel Debre.France.1959.Parliamentary Dem,3,1959,1
554,France,220,Western Europe,Europe,Georges Pompidou,Democracy,Parliamentary Dem,Georges Pompidou.France.1962.Parliamentary Dem,3,1962,1
555,France,220,Western Europe,Europe,Georges Pompidou,Democracy,Mixed Dem,Georges Pompidou.France.1965.Mixed Dem,3,1965,1
556,France,220,Western Europe,Europe,Maurice Couve de Murville,Democracy,Mixed Dem,Maurice Couve de Murville.France.1968.Mixed Dem,1,1968,1
557,France,220,Western Europe,Europe,Jacques Chaban-Delmas,Democracy,Mixed Dem,Jacques Chaban-Delmas.France.1969.Mixed Dem,3,1969,1
558,France,220,Western Europe,Europe,Pierre Messmer,Democracy,Mixed Dem,Pierre Messmer.France.1972.Mixed Dem,2,1972,1
559,France,220,Western Europe,Europe,Jacques Chirac,Democracy,Mixed Dem,Jacques Chirac.France.1974.Mixed Dem,2,1974,1
560,France,220,Western Europe,Europe,Raymond Barre,Democracy,Mixed Dem,Raymond Barre.France.1976.Mixed Dem,5,1976,1
561,France,220,Western Europe,Europe,Pierre Mauroy,Democracy,Mixed Dem,Pierre Mauroy.France.1981.Mixed Dem,3,1981,1
562,France,220,Western Europe,Europe,Laurent Fabius,Democracy,Mixed Dem,Laurent Fabius.France.1984.Mixed Dem,2,1984,1
563,France,220,Western Europe,Europe,Jacques Chirac,Democracy,Mixed Dem,Jacques Chirac.France.1986.Mixed Dem,2,1986,1
564,France,220,Western Europe,Europe,Michel Rocard,Democracy,Mixed Dem,Michel Rocard.France.1988.Mixed Dem,3,1988,1
565,France,220,Western Europe,Europe,Edith Cresson,Democracy,Mixed Dem,Edith Cresson.France.1991.Mixed Dem,1,1991,1
566,France,220,Western Europe,Europe,Pierre Beregovoy,Democracy,Mixed Dem,Pierre Beregovoy.France.1992.Mixed Dem,1,1992,1
567,France,220,Western Europe,Europe,Edouard Balladur,Democracy,Mixed Dem,Edouard Balladur.France.1993.Mixed Dem,2,1993,1
568,France,220,Western Europe,Europe,Alain Juppe,Democracy,Mixed Dem,Alain Juppe.France.1995.Mixed Dem,2,1995,1
569,France,220,Western Europe,Europe,Lionel Jospin,Democracy,Mixed Dem,Lionel Jospin.France.1997.Mixed Dem,5,1997,1
570,France,220,Western Europe,Europe,Jean-Pierre Raffarin,Democracy,Mixed Dem,Jean-Pierre Raffarin.France.2002.Mixed Dem,3,2002,1
571,France,220,Western Europe,Europe,Dominique de Villepin,Democracy,Mixed Dem,Dominique de Villepin.France.2005.Mixed Dem,2,2005,1
572,France,220,Western Europe,Europe,Franï¿½ois Fillon,Democracy,Mixed Dem,Franï¿½ois Fillon.France.2007.Mixed Dem,2,2007,0
573,Gabon,481,Middle Africa,Africa,Leon Mba,Non-democracy,Civilian Dict,Leon Mba.Gabon.1960.Civilian Dict,7,1960,0
574,Gabon,481,Middle Africa,Africa,Albert-Bernard Bongo,Non-democracy,Civilian Dict,Albert-Bernard Bongo.Gabon.1965.Civilian Dict,42,1967,0
575,Gambia,420,Western Africa,Africa,Dauda Jawara,Non-democracy,Civilian Dict,Dauda Jawara.Gambia.1965.Civilian Dict,29,1965,1
576,Gambia,420,Western Africa,Africa,Yahya Jammeh,Non-democracy,Military Dict,Yahya Jammeh.Gambia.1994.Military Dict,15,1994,0
577,Georgia,372,Western Asia,Asia,Zviad Gamsakhurdia,Non-democracy,Civilian Dict,Zviad Gamsakhurdia.Georgia.1991.Civilian Dict,1,1991,1
578,Georgia,372,Western Asia,Asia,Eduard Shevardnadze,Non-democracy,Civilian Dict,Eduard Shevardnadze.Georgia.1992.Civilian Dict,11,1992,1
579,Georgia,372,Western Asia,Asia,Nino Burdzhanadze,Non-democracy,Civilian Dict,Nino Burdzhanadze.Georgia.2003.Civilian Dict,1,2003,1
580,Georgia,372,Western Asia,Asia,Zurab Zhvania,Democracy,Mixed Dem,Zurab Zhvania.Georgia.2004.Mixed Dem,1,2004,1
581,Georgia,372,Western Asia,Asia,Zurab Nogaideli,Democracy,Mixed Dem,Zurab Nogaideli.Georgia.2005.Mixed Dem,2,2005,1
582,Georgia,372,Western Asia,Asia,Lado Gurgenidze,Democracy,Mixed Dem,Lado Gurgenidze.Georgia.2007.Mixed Dem,1,2007,1
583,Georgia,372,Western Asia,Asia,Grigol Mgaloblishvili,Democracy,Mixed Dem,Grigol Mgaloblishvili.Georgia.2008.Mixed Dem,1,2008,0
584,Germany,255,Western Europe,Europe,Helmut Kohl,Democracy,Parliamentary Dem,Helmut Kohl.Germany.1990.Parliamentary Dem,8,1990,1
585,Germany,255,Western Europe,Europe,Gerhard Schroeder,Democracy,Parliamentary Dem,Gerhard Schroeder.Germany.1998.Parliamentary Dem,7,1998,1
586,Germany,255,Western Europe,Europe,Angela Merkel,Democracy,Parliamentary Dem,Angela Merkel.Germany.2005.Parliamentary Dem,4,2005,0
587,"Germany, East",265,Western Europe,Europe,Wilhelm Pieck + Otto Grotewohl,Non-democracy,Civilian Dict,"Wilhelm Pieck + Otto Grotewohl.Germany, East.1949.Civilian Dict",1,1949,1
588,"Germany, East",265,Western Europe,Europe,Walter Ulbricht,Non-democracy,Civilian Dict,"Walter Ulbricht.Germany, East.1950.Civilian Dict",21,1950,1
589,"Germany, East",265,Western Europe,Europe,Erich Honecker,Non-democracy,Civilian Dict,"Erich Honecker.Germany, East.1971.Civilian Dict",18,1971,1
590,"Germany, East",265,Western Europe,Europe,Egon Krenz,Non-democracy,Civilian Dict,"Egon Krenz.Germany, East.1989.Civilian Dict",1,1989,0
591,"Germany, West",260,Western Europe,Europe,Konrad Adenauer,Democracy,Parliamentary Dem,"Konrad Adenauer.Germany, West.1949.Parliamentary Dem",14,1949,1
592,"Germany, West",260,Western Europe,Europe,Ludwig Erhard,Democracy,Parliamentary Dem,"Ludwig Erhard.Germany, West.1963.Parliamentary Dem",3,1963,1
593,"Germany, West",260,Western Europe,Europe,Kurt-Georg Kiesinger,Democracy,Parliamentary Dem,"Kurt-Georg Kiesinger.Germany, West.1966.Parliamentary Dem",3,1966,1
594,"Germany, West",260,Western Europe,Europe,Willy Brandt,Democracy,Parliamentary Dem,"Willy Brandt.Germany, West.1969.Parliamentary Dem",5,1969,1
595,"Germany, West",260,Western Europe,Europe,Helmut Schmidt,Democracy,Parliamentary Dem,"Helmut Schmidt.Germany, West.1974.Parliamentary Dem",8,1974,1
596,"Germany, West",260,Western Europe,Europe,Helmut Kohl,Democracy,Parliamentary Dem,"Helmut Kohl.Germany, West.1982.Parliamentary Dem",8,1982,0
597,Ghana,452,Western Africa,Africa,Kwame Nkrumah,Non-democracy,Civilian Dict,Kwame Nkrumah.Ghana.1957.Civilian Dict,9,1957,1
598,Ghana,452,Western Africa,Africa,Joseph Ankrah,Non-democracy,Military Dict,Joseph Ankrah.Ghana.1966.Military Dict,3,1966,1
599,Ghana,452,Western Africa,Africa,Kofi Busia,Democracy,Parliamentary Dem,Kofi Busia.Ghana.1969.Parliamentary Dem,3,1969,1
600,Ghana,452,Western Africa,Africa,Ignatius Acheampong,Non-democracy,Military Dict,Ignatius Acheampong.Ghana.1972.Military Dict,6,1972,1
601,Ghana,452,Western Africa,Africa,Frederick Akuffo,Non-democracy,Military Dict,Frederick Akuffo.Ghana.1978.Military Dict,1,1978,1
602,Ghana,452,Western Africa,Africa,Hilla Limann,Democracy,Presidential Dem,Hilla Limann.Ghana.1979.Presidential Dem,2,1979,1
603,Ghana,452,Western Africa,Africa,Jerry Rawlings,Non-democracy,Military Dict,Jerry Rawlings.Ghana.1981.Military Dict,12,1981,1
604,Ghana,452,Western Africa,Africa,Jerry Rawlings,Democracy,Presidential Dem,Jerry Rawlings.Ghana.1993.Presidential Dem,8,1993,1
605,Ghana,452,Western Africa,Africa,John Agyekum Kufuor,Democracy,Presidential Dem,John Agyekum Kufuor.Ghana.2001.Presidential Dem,8,2001,0
606,Greece,350,Southern Europe,Europe,Constantine Tsaldaris,Democracy,Parliamentary Dem,Constantine Tsaldaris.Greece.1946.Parliamentary Dem,1,1946,1
607,Greece,350,Southern Europe,Europe,Themistocles Sophoulis,Democracy,Parliamentary Dem,Themistocles Sophoulis.Greece.1947.Parliamentary Dem,2,1947,1
608,Greece,350,Southern Europe,Europe,Alexandros Diomidis,Democracy,Parliamentary Dem,Alexandros Diomidis.Greece.1949.Parliamentary Dem,1,1949,1
609,Greece,350,Southern Europe,Europe,Nikolas Plastiras,Democracy,Parliamentary Dem,Nikolas Plastiras.Greece.1950.Parliamentary Dem,2,1950,1
610,Greece,350,Southern Europe,Europe,Alexandros Papagos,Democracy,Parliamentary Dem,Alexandros Papagos.Greece.1952.Parliamentary Dem,3,1952,0
611,Greece,350,Southern Europe,Europe,Konstantinos Karamanlis,Democracy,Parliamentary Dem,Konstantinos Karamanlis.Greece.1955.Parliamentary Dem,8,1955,1
612,Greece,350,Southern Europe,Europe,Ioannis Paraskevopoulos,Democracy,Parliamentary Dem,Ioannis Paraskevopoulos.Greece.1963.Parliamentary Dem,1,1963,1
613,Greece,350,Southern Europe,Europe,Georgios Papandreou,Democracy,Parliamentary Dem,Georgios Papandreou.Greece.1964.Parliamentary Dem,1,1964,1
614,Greece,350,Southern Europe,Europe,Stephanos Stephanopoulos,Democracy,Parliamentary Dem,Stephanos Stephanopoulos.Greece.1965.Parliamentary Dem,1,1965,1
615,Greece,350,Southern Europe,Europe,Ioannis Paraskevopoulos,Democracy,Parliamentary Dem,Ioannis Paraskevopoulos.Greece.1966.Parliamentary Dem,1,1966,1
616,Greece,350,Southern Europe,Europe,Georgios Papadopoulos,Non-democracy,Military Dict,Georgios Papadopoulos.Greece.1967.Military Dict,6,1967,1
617,Greece,350,Southern Europe,Europe,Phaidon Gizikis,Non-democracy,Military Dict,Phaidon Gizikis.Greece.1973.Military Dict,1,1973,1
618,Greece,350,Southern Europe,Europe,Konstantinos Karamanlis,Democracy,Parliamentary Dem,Konstantinos Karamanlis.Greece.1974.Parliamentary Dem,6,1974,1
619,Greece,350,Southern Europe,Europe,Georgios Rallis,Democracy,Parliamentary Dem,Georgios Rallis.Greece.1980.Parliamentary Dem,1,1980,1
620,Greece,350,Southern Europe,Europe,Andreas Papandreou,Democracy,Parliamentary Dem,Andreas Papandreou.Greece.1981.Parliamentary Dem,8,1981,1
621,Greece,350,Southern Europe,Europe,Xenophon Zolotas,Democracy,Parliamentary Dem,Xenophon Zolotas.Greece.1989.Parliamentary Dem,1,1989,1
622,Greece,350,Southern Europe,Europe,Konstantinos Mitsotakis,Democracy,Parliamentary Dem,Konstantinos Mitsotakis.Greece.1990.Parliamentary Dem,3,1990,1
623,Greece,350,Southern Europe,Europe,Andreas Papandreou,Democracy,Parliamentary Dem,Andreas Papandreou.Greece.1993.Parliamentary Dem,3,1993,0
624,Greece,350,Southern Europe,Europe,Kostas Simitis,Democracy,Parliamentary Dem,Kostas Simitis.Greece.1996.Parliamentary Dem,8,1996,1
625,Greece,350,Southern Europe,Europe,Konstantinos A. (Kostas) Karamanlis,Democracy,Parliamentary Dem,Konstantinos A. (Kostas) Karamanlis.Greece.1974.Parliamentary Dem,5,2004,0
626,Grenada,55,Caribbean,Americas,Eric Gairy,Democracy,Parliamentary Dem,Eric Gairy.Grenada.1974.Parliamentary Dem,5,1974,1
627,Grenada,55,Caribbean,Americas,Maurice Bishop,Non-democracy,Civilian Dict,Maurice Bishop.Grenada.1979.Civilian Dict,4,1979,0
628,Grenada,55,Caribbean,Americas,Nicholas Brathwaite,Non-democracy,Civilian Dict,Nicholas Brathwaite.Grenada.1983.Civilian Dict,1,1983,1
629,Grenada,55,Caribbean,Americas,Herbert Blaize,Democracy,Parliamentary Dem,Herbert Blaize.Grenada.1984.Parliamentary Dem,5,1984,0
630,Grenada,55,Caribbean,Americas,Ben Jones,Democracy,Parliamentary Dem,Ben Jones.Grenada.1989.Parliamentary Dem,1,1989,1
631,Grenada,55,Caribbean,Americas,Nicholas Brathwaite,Democracy,Parliamentary Dem,Nicholas Brathwaite.Grenada.1990.Parliamentary Dem,5,1990,1
632,Grenada,55,Caribbean,Americas,Keith Mitchell,Democracy,Parliamentary Dem,Keith Mitchell.Grenada.1995.Parliamentary Dem,13,1995,1
633,Grenada,55,Caribbean,Americas,Tillman Joseph Thomas,Democracy,Parliamentary Dem,Tillman Joseph Thomas.Grenada.2008.Parliamentary Dem,1,2008,0
634,Guatemala,90,Central America,Americas,Juan Arevalo,Democracy,Presidential Dem,Juan Arevalo.Guatemala.1946.Presidential Dem,5,1946,1
635,Guatemala,90,Central America,Americas,Jacobo Arbenz Guzman,Democracy,Presidential Dem,Jacobo Arbenz Guzman.Guatemala.1951.Presidential Dem,3,1951,1
636,Guatemala,90,Central America,Americas,Carlos Castillo Armas,Non-democracy,Military Dict,Carlos Castillo Armas.Guatemala.1954.Military Dict,3,1954,0
637,Guatemala,90,Central America,Americas,Guillermo Flores Avendano,Non-democracy,Military Dict,Guillermo Flores Avendano.Guatemala.1957.Military Dict,1,1957,1
638,Guatemala,90,Central America,Americas,Miguel Ydigoras Fuentes,Democracy,Presidential Dem,Miguel Ydigoras Fuentes.Guatemala.1958.Presidential Dem,5,1958,1
639,Guatemala,90,Central America,Americas,Enrique Peralta Azurdia,Non-democracy,Military Dict,Enrique Peralta Azurdia.Guatemala.1963.Military Dict,3,1963,1
640,Guatemala,90,Central America,Americas,Julio Mendez Montenegro,Democracy,Presidential Dem,Julio Mendez Montenegro.Guatemala.1966.Presidential Dem,4,1966,1
641,Guatemala,90,Central America,Americas,Carlos Arana Osorio,Democracy,Presidential Dem,Carlos Arana Osorio.Guatemala.1970.Presidential Dem,4,1970,1
642,Guatemala,90,Central America,Americas,Kjell Laugerud Garcia,Democracy,Presidential Dem,Kjell Laugerud Garcia.Guatemala.1974.Presidential Dem,4,1974,1
643,Guatemala,90,Central America,Americas,Romeo Lucas Garcia,Democracy,Presidential Dem,Romeo Lucas Garcia.Guatemala.1978.Presidential Dem,4,1978,1
644,Guatemala,90,Central America,Americas,Efrain Rios Montt,Non-democracy,Military Dict,Efrain Rios Montt.Guatemala.1982.Military Dict,1,1982,1
645,Guatemala,90,Central America,Americas,Oscar Humberto Mejia Victores,Non-democracy,Military Dict,Oscar Humberto Mejia Victores.Guatemala.1983.Military Dict,3,1983,1
646,Guatemala,90,Central America,Americas,Marco Vinicio Cerezo Arevalo,Democracy,Presidential Dem,Marco Vinicio Cerezo Arevalo.Guatemala.1986.Presidential Dem,5,1986,1
647,Guatemala,90,Central America,Americas,Jorge Serrano Elias,Democracy,Presidential Dem,Jorge Serrano Elias.Guatemala.1991.Presidential Dem,2,1991,1
648,Guatemala,90,Central America,Americas,Ramiro de Leon Carpio,Democracy,Presidential Dem,Ramiro de Leon Carpio.Guatemala.1993.Presidential Dem,3,1993,1
649,Guatemala,90,Central America,Americas,Alvaro Arzu Irigoyen,Democracy,Presidential Dem,Alvaro Arzu Irigoyen.Guatemala.1996.Presidential Dem,4,1996,1
650,Guatemala,90,Central America,Americas,Alfonso Antonio Portillo Cabrera,Democracy,Presidential Dem,Alfonso Antonio Portillo Cabrera.Guatemala.2000.Presidential Dem,8,2000,1
651,Guatemala,90,Central America,Americas,ï¿½lvaro Colom Caballeros,Democracy,Presidential Dem,ï¿½lvaro Colom Caballeros.Guatemala.2008.Presidential Dem,1,2008,0
652,Guinea,438,Western Africa,Africa,Ahmed Sekou Toure,Non-democracy,Civilian Dict,Ahmed Sekou Toure.Guinea.1958.Civilian Dict,26,1958,0
653,Guinea,438,Western Africa,Africa,Lansana Conte,Non-democracy,Military Dict,Lansana Conte.Guinea.1984.Military Dict,24,1984,0
654,Guinea,438,Western Africa,Africa,Moussa Dadis Camara,Non-democracy,Military Dict,Moussa Dadis Camara.Guinea.2008.Military Dict,1,2008,0
655,Guinea-Bissau,404,Western Africa,Africa,Luis Cabral,Non-democracy,Civilian Dict,Luis Cabral.Guinea-Bissau.1974.Civilian Dict,6,1974,1
656,Guinea-Bissau,404,Western Africa,Africa,Joao Vieira,Non-democracy,Military Dict,Joao Vieira.Guinea-Bissau.1980.Military Dict,19,1980,1
657,Guinea-Bissau,404,Western Africa,Africa,Ansumane Mane,Non-democracy,Military Dict,Ansumane Mane.Guinea-Bissau.1999.Military Dict,1,1999,1
